title,link,date_posted,posted_until,main_agency,department,job_location,work_location,job_type,salary,category,experience_level,title_classification,job_id,num_positions
SUPERVISOR,https://cityjobs.nyc.gov/job/supervisor-in-brooklyn-jid-23546,2024-05-23,2025-10-27,DEPT. OF HOMELESS SERVICES,Adult Services,BROOKLYN,"681 Clarkson Ave Bldg D, Bklyn",Full-Time,"$55,946.00 – $89,698.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,636850,2
COMMUNITY ASSOCIATE,https://cityjobs.nyc.gov/job/community-associate-in-bronx-jid-37450,2025-10-18,,BRONX COMMUNITY BOARD #5,Bronx Community Board #5,BRONX,"W 181St St. & University Ave.,",Full-Time,"$44,545.00 – $74,134.00",Constituent Services & Community Programs,Entry-Level,No Exam Required,752023,1
"Purchase Director, Fleet and Parts",https://cityjobs.nyc.gov/job/purchase-director-fleet-and-parts-in-nyc-all-boros-jid-37449,2025-10-18,2025-11-16,DEPT OF CITYWIDE ADMIN SVCS,OCP/Agency Purchasing,NYC-ALL BOROS,"1 Centre St., N.Y.",Full-Time,"$73,419.00 – $110,864.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,752002,1
Phlebotomist,https://cityjobs.nyc.gov/job/phlebotomist-in-nyc-all-boros-jid-37448,2025-10-18,2025-12-16,DEPT OF HEALTH/MENTAL HYGIENE,Medical Services,NYC-ALL BOROS,"303 9Th Ave., N.Y.",Full-Time,"$51,148.00 – $54,808.00",Health,Experienced (Non-Manager),Exam May Be Required,752005,1
Phlebotomist,https://cityjobs.nyc.gov/job/phlebotomist-in-nyc-all-boros-jid-37447,2025-10-18,2025-12-16,DEPT OF HEALTH/MENTAL HYGIENE,Medical Services,NYC-ALL BOROS,"303 9Th Ave., N.Y.",Part-Time,$28.00 – $30.00,Health,Experienced (Non-Manager),Exam May Be Required,751991,1
Human Resources Representative,https://cityjobs.nyc.gov/job/human-resources-representative-in-nyc-all-boros-jid-37446,2025-10-18,2025-10-30,DEPT OF HEALTH/MENTAL HYGIENE,OCME - Human Resources,NYC-ALL BOROS,421 East 26th Street NY NY,Part-Time,"$47,008.00 – $58,173.00",Administration & Human Resources,Entry-Level,Exam May Be Required,751993,1
Senior Modeler,https://cityjobs.nyc.gov/job/senior-modeler-in-manhattan-jid-37445,2025-10-18,2025-10-26,DEPARTMENT OF FINANCE,Property Modeling & Research,MANHATTAN,"66 John Street, New York, Ny",Full-Time,"$98,159.00 – $112,883.00","Technology, Data & Innovation",Experienced (Non-Manager),No Exam Required,739912,1
Administrative Associate Support,https://cityjobs.nyc.gov/job/administrative-associate-support-in-manhattan-jid-37312,2025-10-16,2025-11-15,ADMIN FOR CHILDREN'S SVCS,Division Of External Affairs,MANHATTAN,"150 William Street, New York N",Full-Time,"$53,370.00 – $78,180.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,739310,1
Direct Care Worker,https://cityjobs.nyc.gov/job/direct-care-worker-in-manhattan-jid-35374,2025-08-06,2025-12-16,ADMIN FOR CHILDREN'S SVCS,Children'S Center,MANHATTAN,"492 First Avenue, New York, Ny",Full-Time,"$48,094.00 – $75,866.00",Social Services,Experienced (Non-Manager),Exam May Be Required,718101,5
ELIGIBILITY SPECIALIST,https://cityjobs.nyc.gov/job/eligibility-specialist-in-manhattan-jid-28334,2024-12-10,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Office Of Investigation-NM,MANHATTAN,375 Pearl Street,Full-Time,"$45,090.00 – $51,853.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,684966,1
CENTER DIRECTOR,https://cityjobs.nyc.gov/job/center-director-in-bronx-jid-27332,2024-10-26,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Hasa Hiv/Aids Svcs Admin-Mgr,BRONX,"1790 Grand Concourse, Bronx",Full-Time,"$66,067.00 – $71,246.00",Administration & Human Resources,Manager,Exam May Be Required,684418,1
CASEWORKER,https://cityjobs.nyc.gov/job/caseworker-in-manhattan-jid-27144,2024-10-19,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Customized Assist Svc-NM,MANHATTAN,4 World Trade Center,Full-Time,"$46,689.00 – $53,692.00",Social Services,Entry-Level,Exam May Be Required,684833,1
JCC MANAGER,https://cityjobs.nyc.gov/job/jcc-manager-in-manhattan-jid-27064,2024-10-17,2025-10-27,DEPT. OF HOMELESS SERVICES,Street Homelessness Solutions,MANHATTAN,"33 Beaver St, New York Ny",Full-Time,"$66,067.00 – $84,000.00",Social Services,Experienced (Non-Manager),Exam May Be Required,684521,1
Certified IT Developer (Applications),https://cityjobs.nyc.gov/job/certified-it-developer-applications-in-manhattan-jid-37444,2025-10-18,2025-10-30,LAW DEPARTMENT,Information Technology,MANHATTAN,"100 Church St., N.Y.",Full-Time,"$107,137.00 – $151,503.00","Technology, Data & Innovation",Experienced (Non-Manager),Exam May Be Required,751994,1
Phlebotomist,https://cityjobs.nyc.gov/job/phlebotomist-in-nyc-all-boros-jid-37443,2025-10-18,2025-12-16,DEPT OF HEALTH/MENTAL HYGIENE,Clinical Operations,NYC-ALL BOROS,2238 Fifth Ave New York,Full-Time,"$55,187.00 – $59,140.00",Health,Experienced (Non-Manager),Exam May Be Required,751999,1
SPECIAL ASSISTANT TO THE CHIEF INFORMATION OFFICER (CIO),https://cityjobs.nyc.gov/job/special-assistant-to-the-chief-information-officer-cio-in-manhattan-jid-37442,2025-10-18,2025-12-16,HRA/DEPT OF SOCIAL SERVICES,Mgmt Information System-NM,MANHATTAN,4 World Trade Center,Full-Time,"$74,645.00 – $85,842.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,751896,1
College Aide,https://cityjobs.nyc.gov/job/college-aide-in-manhattan-jid-37441,2025-10-18,2025-12-16,DISTRICT ATTORNEY-MANHATTAN,EARLY ENGAGEMENT CASE SUPPORT,MANHATTAN,"40 Worth St., N.Y.",Part-Time,$17.00 – $17.50,Administration & Human Resources,Student,No Exam Required,751795,1
Borough Enforcement Attorney,https://cityjobs.nyc.gov/job/borough-enforcement-attorney-in-bronx-jid-37392,2025-10-17,2025-11-16,DEPARTMENT OF BUILDINGS,Borough Enforcement,BRONX,1775 Grand Concourse Bronx N.Y,Full-Time,"$83,000.00 – $95,450.00",Legal Affairs,Experienced (Non-Manager),No Exam Required,751814,1
Assistant Deputy Agency Chief Contracting Officer,https://cityjobs.nyc.gov/job/assistant-deputy-agency-chief-contracting-officer-in-brooklyn-jid-37440,2025-10-18,,TECHNOLOGY & INNOVATION,Procurement & Vendor MGMT,BROOKLYN,15 Metrotech,Full-Time,"$73,419.00 – $120,000.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,751189,2
"Special Operations Training, Exercise & Response Lead",https://cityjobs.nyc.gov/job/special-operations-training-exercise-and-response-lead-in-nyc-all-boros-jid-37302,2025-10-15,2025-12-13,DEPT OF HEALTH/MENTAL HYGIENE,OCME - Emergency Management,NYC-ALL BOROS,421 East 26th Street NY NY,Full-Time,"$75,100.00 – $108,736.00",Health,Experienced (Non-Manager),No Exam Required,751204,1
FGAP DIRECTOR,https://cityjobs.nyc.gov/job/fgap-director-in-bronx-jid-37439,2025-10-18,2025-10-19,FIRE DEPARTMENT,Bronx Boro Command Loc#1501,BRONX,"3929 E Tremont Ave., Bronx",Full-Time,"$118,873.00 – $190,015.00","Public Safety, Inspections, & Enforcement",Experienced (Non-Manager),Exam May Be Required,750029,1
Senior Modeler,https://cityjobs.nyc.gov/job/senior-modeler-in-manhattan-jid-37438,2025-10-18,2025-10-27,DEPARTMENT OF FINANCE,Property Modeling & Research,MANHATTAN,"66 John Street, New York, Ny",Full-Time,"$104,676.00 – $112,883.00",Administration & Human Resources,Experienced (Non-Manager),No Exam Required,749644,1
Conference Facilitator,https://cityjobs.nyc.gov/job/conference-facilitator-in-queens-jid-37437,2025-10-18,2025-11-16,ADMIN FOR CHILDREN'S SVCS,DCP Family Team Conferencing,QUEENS,"90-25 161 Street, Jamaica Ny",Full-Time,"$84,863.00 – $114,446.00",Social Services,Experienced (Non-Manager),Exam May Be Required,749869,6
Conference Facilitator,https://cityjobs.nyc.gov/job/conference-facilitator-in-queens-jid-37436,2025-10-18,2025-11-16,ADMIN FOR CHILDREN'S SVCS,DCP Family Team Conferencing,QUEENS,"90-25 161 Street, Jamaica Ny",Full-Time,"$84,863.00 – $114,446.00",Social Services,Experienced (Non-Manager),Exam May Be Required,749864,3
Facilities Project Manager,https://cityjobs.nyc.gov/job/facilities-project-manager-in-manhattan-jid-37435,2025-10-18,,DEPT OF YOUTH & COMM DEV SRVS,YOUTH SERVICES SUPPORT,MANHATTAN,"2 Lafayette St., N.Y.",Full-Time,"$62,868.00 – $97,593.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,735822,1
ASSISTANT RESIDENT BUILDING SUPT (HA),https://cityjobs.nyc.gov/job/assistant-resident-building-supt-ha-in-manhattan-jid-36300,2025-09-10,2025-11-06,NYC HOUSING AUTHORITY,Manhattan Property Management,MANHATTAN,Drew-Hamilton Houses,Full-Time,"$54,272.00 – $83,117.00",Building Operations & Maintenance,Entry-Level,Exam May Be Required,729036,1
CA PERT SENIOR CASE REVIEWER,https://cityjobs.nyc.gov/job/ca-pert-senior-case-reviewer-in-manhattan-jid-24318,2024-06-25,2025-10-27,HRA/DEPT OF SOCIAL SERVICES,Off Of Qual Asse-Fisc Int NM,MANHATTAN,4 World Trade Center,Full-Time,"$64,137.00 – $73,758.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,629987,2
PH Advisor,https://cityjobs.nyc.gov/job/ph-advisor-in-nyc-all-boros-jid-37434,2025-10-18,2025-12-16,DEPT OF HEALTH/MENTAL HYGIENE,Medical Services,NYC-ALL BOROS,1309 Fulton Ave Bronx,Full-Time,"$45,433.00 – $52,248.00",Health,Experienced (Non-Manager),Exam May Be Required,751986,1
Data/Registration Clerk,https://cityjobs.nyc.gov/job/data-registration-clerk-in-nyc-all-boros-jid-37433,2025-10-18,2025-12-16,DEPT OF HEALTH/MENTAL HYGIENE,Medical Services,NYC-ALL BOROS,295 Flatbush Ext Brooklyn,Full-Time,"$45,433.00 – $52,248.00",Health,Experienced (Non-Manager),Exam May Be Required,751984,1
Director of IT,https://cityjobs.nyc.gov/job/director-of-it-in-nyc-all-boros-jid-37432,2025-10-18,2025-12-16,DEPT OF HEALTH/MENTAL HYGIENE,Food Safety & Community Sanit,NYC-ALL BOROS,"125 Worth Street, Nyc",Full-Time,"$68,214.00 – $92,760.00",Health,Experienced (Non-Manager),Exam May Be Required,751898,1
Clearance Administrator,https://cityjobs.nyc.gov/job/clearance-administrator-in-nyc-all-boros-jid-37431,2025-10-18,2025-10-30,DEPT OF HEALTH/MENTAL HYGIENE,Child Care,NYC-ALL BOROS,"125 Worth Street, Nyc",Full-Time,"$46,503.00 – $73,002.00",Constituent Services & Community Programs,Entry-Level,Exam May Be Required,751924,1
Sr. Engagement Coordinator,https://cityjobs.nyc.gov/job/sr-engagement-coordinator-in-nyc-all-boros-jid-37430,2025-10-18,2025-10-30,DEPARTMENT OF SANITATION,Office Of The Commissioner,NYC-ALL BOROS,"125 Worth Street, Nyc",Full-Time,"$100,000.00 – $120,000.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,751943,1
"Deputy Director, Recruitment",https://cityjobs.nyc.gov/job/deputy-director-recruitment-in-manhattan-jid-37429,2025-10-18,2025-10-24,ADMIN TRIALS AND HEARINGS,"Admin, GC, PI & Exec",MANHATTAN,"100 Church St., N.Y.",Full-Time,"$91,394.00 – $102,166.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,751965,1
Paralegal Assistant Supervisor- Special Federal Litigation,https://cityjobs.nyc.gov/job/paralegal-assistant-supervisor-special-federal-litigation-in-manhattan-jid-37428,2025-10-18,2025-11-16,LAW DEPARTMENT,Special Federal Litigation-F,MANHATTAN,"100 Church St., N.Y.",Full-Time,"$50,198.00 – $70,247.00",Legal Affairs,Experienced (Non-Manager),Exam May Be Required,751908,1
CLIENT ADVOCATE,https://cityjobs.nyc.gov/job/client-advocate-in-manhattan-jid-37427,2025-10-18,2025-12-16,HRA/DEPT OF SOCIAL SERVICES,Constituent Services-NM,MANHATTAN,4 World Trade Center,Full-Time,"$59,715.00 – $68,672.00",Constituent Services & Community Programs,Experienced (Non-Manager),Exam May Be Required,751960,1
Tax Commission Hearing Officer,https://cityjobs.nyc.gov/job/tax-commission-hearing-officer-in-manhattan-jid-37426,2025-10-18,,TAX COMMISSION,Civ Serv & Prov Employees,MANHATTAN,"1 Centre St., N.Y.",Full-Time,"$96,638.00 – $146,052.00","Policy, Research & Analysis",Experienced (Non-Manager),No Exam Required,751906,1
BOB- Expense Analyst,https://cityjobs.nyc.gov/job/bob-expense-analyst-in-nyc-all-boros-jid-37425,2025-10-18,2025-12-12,DEPARTMENT OF TRANSPORTATION,Bureau Of Bridges Exec Hdqtr,NYC-ALL BOROS,55 Water St Ny Ny,Full-Time,"$69,054.00 – $107,793.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,751879,1
PROJECT MANAGER,https://cityjobs.nyc.gov/job/project-manager-in-manhattan-jid-37424,2025-10-18,2025-12-16,HRA/DEPT OF SOCIAL SERVICES,Budget Administration-NM,MANHATTAN,4 World Trade Center,Full-Time,"$74,536.00 – $81,991.00",Administration & Human Resources,Experienced (Non-Manager),No Exam Required,751889,1
SNAP DEPUTY DIRECTOR,https://cityjobs.nyc.gov/job/snap-deputy-director-in-bronx-jid-37423,2025-10-18,2025-12-16,HRA/DEPT OF SOCIAL SERVICES,FIA Food Stamps-NM,BRONX,2500 Halsey Street,Full-Time,"$66,062.00 – $75,971.00",Social Services,Experienced (Non-Manager),Exam May Be Required,751884,1
"Out-of-School, Out-of-Work (OSOW) Program Manager",https://cityjobs.nyc.gov/job/out-of-school-out-of-work-osow-program-manager-in-manhattan-jid-37397,2025-10-17,2025-11-15,DEPARTMENT OF BUSINESS SERV.,WF1 Operations,MANHATTAN,1 Liberty Plaza NYC,Full-Time,"$62,868.00 – $80,000.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,751816,1
CASE MANAGEMENT NURSE,https://cityjobs.nyc.gov/job/case-management-nurse-in-brooklyn-jid-35601,2025-08-14,2025-10-18,FIRE DEPARTMENT,Medical,BROOKLYN,"9 Metrotech Center, Brooklyn N",Full-Time,"$109,490.00 – $109,490.00",Health,Experienced (Non-Manager),No Exam Required,725825,1
Criminal Court Assistant,https://cityjobs.nyc.gov/job/criminal-court-assistant-in-staten-island-jid-36214,2025-09-05,,DISTRICT ATTORNEY RICHMOND COU,Criminal Court,STATEN ISLAND,"26 Central Avenue, S.I.,",Full-Time,"$51,000.00 – $53,000.00",Legal Affairs,Entry-Level,No Exam Required,732735,4
Water Resources Specialist,https://cityjobs.nyc.gov/job/water-resources-specialist-in-nyc-all-boros-jid-35775,2025-08-20,,DEPT OF PARKS & RECREATION,Natural Resources Group,NYC-ALL BOROS,105 St & 5 Ave,Full-Time,$40.80 – $40.80,Green Jobs,Experienced (Non-Manager),No Exam Required,727340,1
Accountant - Bank Reconciliation Unit,https://cityjobs.nyc.gov/job/accountant-bank-reconciliation-unit-in-manhattan-jid-37422,2025-10-18,2025-12-16,OFFICE OF THE COMPTROLLER,ACC-Bank Reconciliation,MANHATTAN,"1 Centre St., N.Y.",Full-Time,"$70,000.00 – $77,000.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,751981,1
Human Resources Representative,https://cityjobs.nyc.gov/job/human-resources-representative-in-nyc-all-boros-jid-37421,2025-10-18,2025-10-30,DEPT OF HEALTH/MENTAL HYGIENE,OCME - Human Resources,NYC-ALL BOROS,421 East 26th Street NY NY,Part-Time,$25.73 – $31.84,Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,751983,1
PH Advisor I,https://cityjobs.nyc.gov/job/ph-advisor-i-in-nyc-all-boros-jid-37420,2025-10-18,2025-12-16,DEPT OF HEALTH/MENTAL HYGIENE,Medical Services,NYC-ALL BOROS,295 Flatbush Ext Brooklyn,Part-Time,$24.87 – $28.60,Health,Experienced (Non-Manager),Exam May Be Required,751980,1
Desktop Support Engineer,https://cityjobs.nyc.gov/job/desktop-support-engineer-in-manhattan-jid-37419,2025-10-18,2026-01-16,DEPARTMENT OF INVESTIGATION,Information Technology,MANHATTAN,180 Maiden Lane,Full-Time,"$62,868.00 – $74,426.00","Technology, Data & Innovation",Experienced (Non-Manager),No Exam Required,751967,1
Accountant - Ledger Maintenance Unit,https://cityjobs.nyc.gov/job/accountant-ledger-maintenance-unit-in-manhattan-jid-37418,2025-10-18,2025-12-16,OFFICE OF THE COMPTROLLER,ACC-Ledger Maintenance,MANHATTAN,"1 Centre St., N.Y.",Full-Time,"$70,000.00 – $77,000.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,751985,1
Patient Navigator,https://cityjobs.nyc.gov/job/patient-navigator-in-nyc-all-boros-jid-37417,2025-10-18,2025-12-15,DEPT OF HEALTH/MENTAL HYGIENE,Clinical Operations,NYC-ALL BOROS,295 Flatbush Ext Brooklyn,Full-Time,"$54,799.00 – $63,019.00",Health,Experienced (Non-Manager),Exam May Be Required,751754,4
Hearing Officer,https://cityjobs.nyc.gov/job/hearing-officer-in-brooklyn-jid-37416,2025-10-18,2025-12-16,NYC HOUSING AUTHORITY,Office Of Impartial Hearings,BROOKLYN,Corp Secy-Impartial Hrngs,Full-Time,"$110,000.00 – $130,000.00",Administration & Human Resources,Experienced (Non-Manager),Exam May Be Required,751296,1
SNAP DEPUTY DIRECTOR,https://cityjobs.nyc.gov/job/snap-deputy-director-in-brooklyn-jid-37332,2025-10-16,2025-12-14,HRA/DEPT OF SOCIAL SERVICES,FIA Food Stamps-NM,BROOKLYN,95 Evergreen Ave Brooklyn,Full-Time,"$66,062.00 – $75,971.00",Social Services,Experienced (Non-Manager),Exam May Be Required,751400,1
CARETAKER X (HA),https://cityjobs.nyc.gov/job/caretaker-x-ha-in-staten-island-jid-37415,2025-10-18,2025-11-06,NYC HOUSING AUTHORITY,Queens/SI Property Mgmt,STATEN ISLAND,Mariners Harbor,Full-Time,"$36,006.00 – $50,569.00",Building Operations & Maintenance,Entry-Level,No Exam Required,751352,1
Director of Database Administration,https://cityjobs.nyc.gov/job/director-of-database-administration-in-manhattan-jid-37414,2025-10-18,2025-10-30,DEPARTMENT OF TRANSPORTATION,IT & Telecom,MANHATTAN,55 Water St Ny Ny,Full-Time,"$83,718.00 – $223,299.00","Technology, Data & Innovation",Manager,Exam May Be Required,751348,1
"General Counsel, MOME",https://cityjobs.nyc.gov/job/general-counsel-mome-in-manhattan-jid-37413,2025-10-18,,TECHNOLOGY & INNOVATION,MOME,MANHATTAN,"1 Centre St., N.Y.",Full-Time,"$103,355.00 – $160,000.00",Legal Affairs,Manager,No Exam Required,751683,1
Bus Priority Analyst,https://cityjobs.nyc.gov/job/bus-priority-analyst-in-manhattan-jid-37412,2025-10-18,2025-11-16,DEPARTMENT OF TRANSPORTATION,Transit Development,MANHATTAN,55 Water St Ny Ny,Full-Time,"$62,868.00 – $97,593.00",Constituent Services & Community Programs,Experienced (Non-Manager),No Exam Required,751413,1
Bronx Markings Borough Lead,https://cityjobs.nyc.gov/job/bronx-markings-borough-lead-in-queens-jid-37411,2025-10-18,2025-10-31,DEPARTMENT OF TRANSPORTATION,Design & Construction,QUEENS,"33-00 Northern Blvd., Lic Ny",Full-Time,"$64,432.00 – $90,442.00","Public Safety, Inspections, & Enforcement",Experienced (Non-Manager),Exam May Be Required,751216,1
IFA Budget Analyst,https://cityjobs.nyc.gov/job/ifa-budget-analyst-in-manhattan-jid-37329,2025-10-16,,DEPARTMENT OF TRANSPORTATION,Financial Management &Analysis,MANHATTAN,55 Water St Ny Ny,Full-Time,"$98,140.00 – $131,956.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,751208,1
IFA Budget Analyst,https://cityjobs.nyc.gov/job/ifa-budget-analyst-in-manhattan-jid-37382,2025-10-17,,DEPARTMENT OF TRANSPORTATION,Financial Management &Analysis,MANHATTAN,55 Water St Ny Ny,Full-Time,"$82,056.00 – $122,180.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,751212,1
Budget Analyst,https://cityjobs.nyc.gov/job/budget-analyst-in-manhattan-jid-37324,2025-10-16,,DEPARTMENT OF TRANSPORTATION,Financial Management &Analysis,MANHATTAN,55 Water St Ny Ny,Full-Time,"$82,056.00 – $122,180.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,751159,2
Budget Analyst,https://cityjobs.nyc.gov/job/budget-analyst-in-manhattan-jid-37334,2025-10-16,,DEPARTMENT OF TRANSPORTATION,Financial Management &Analysis,MANHATTAN,55 Water St Ny Ny,Full-Time,"$98,140.00 – $131,956.00","Finance, Accounting, & Procurement",Experienced (Non-Manager),Exam May Be Required,751140,2
